PC1,PC2,PC3,Label
11764.3,-115.575,-927.545,0
3167.63,-2940.34,-1859.45,0
-456.532,-218.053,797.501,0
-233.897,-225.758,476.106,0
-288.243,-224.868,497.056,0
-397.137,-263.983,676.182,0
-566.029,1888.89,-731.545,0
-605.958,1409.52,-572.838,0
-597.562,1653.46,-649.891,0
-7417.03,-441.238,-735.16,1
5555.36,-995.691,260.692,1
-4436.26,1186.91,-251.069,1
-2079.38,151.654,667.155,1
14510.4,73.234,554.144,1
-1878.59,813.197,73.3939,1
-3876.24,1992.5,-804.639,1
7602.04,381.487,408.64,1
1804.33,529.22,121.829,1
-698.54,300.782,455.432,2
-661.9,139.666,437.47,2
-617.035,236.492,188.721,2
-526.003,-5.7024,192.249,2
-556.552,251.636,145.88,2
-555.855,-33.1502,127.668,2
-522.505,13.3962,133.096,2
-626.976,515.689,126.558,2
-555.012,489.823,120.31,2
-9105.71,137.267,362.14,3
2072.6,81.8631,-140.846,3
-6735.32,-3251.65,341.936,3
-3710.14,549.815,44.9394,3
596.359,-1056.52,457.699,3
-2081.91,-1489.2,-517.427,3
9253.82,-819.635,16.6442,3
-6834.94,-1844.42,-204.393,3
294.235,1129.31,-288.644,3
